loss: 0.0056, recon: 0.0056, kl: 1957.7335
loss: 0.0055, recon: 0.0055, kl: 1977.9222
loss: 0.0055, recon: 0.0055, kl: 2011.1625
loss: 0.0053, recon: 0.0053, kl: 1992.8674
loss: 0.0048, recon: 0.0048, kl: 2019.9655
epoch: 24, lr: 0.000005, loss: 0.0057
loss: 0.0056, recon: 0.0056, kl: 2027.8833
loss: 0.0052, recon: 0.0052, kl: 2040.2168
loss: 0.0054, recon: 0.0054, kl: 2058.1392
loss: 0.0052, recon: 0.0052, kl: 2078.6445
epoch: 25, lr: 0.000005, loss: 0.0049
loss: 0.0054, recon: 0.0054, kl: 2095.3193
loss: 0.0059, recon: 0.0059, kl: 2102.4958
loss: 0.0050, recon: 0.0050, kl: 2113.3071
loss: 0.0052, recon: 0.0052, kl: 2127.1609
epoch: 26, lr: 0.000005, loss: 0.0050
loss: 0.0049, recon: 0.0049, kl: 2133.4099
loss: 0.0050, recon: 0.0050, kl: 2145.6692
loss: 0.0049, recon: 0.0049, kl: 2157.0974
loss: 0.0058, recon: 0.0058, kl: 2158.3477
epoch: 27, lr: 0.000005, loss: 0.0053
loss: 0.0054, recon: 0.0054, kl: 2168.1260
loss: 0.0046, recon: 0.0046, kl: 2197.7522
loss: 0.0056, recon: 0.0056, kl: 2198.8433
loss: 0.0049, recon: 0.0049, kl: 2226.7041
epoch: 28, lr: 0.000005, loss: 0.0045
loss: 0.0051, recon: 0.0051, kl: 2213.9048
loss: 0.0051, recon: 0.0051, kl: 2223.8308
loss: 0.0047, recon: 0.0047, kl: 2244.7915
loss: 0.0048, recon: 0.0048, kl: 2270.1296
epoch: 29, lr: 0.000005, loss: 0.0043
loss: 0.0044, recon: 0.0044, kl: 2263.4697
loss: 0.0044, recon: 0.0044, kl: 2298.7759
loss: 0.0048, recon: 0.0048, kl: 2293.7490
loss: 0.0054, recon: 0.0054, kl: 2301.1870
loss: 0.0043, recon: 0.0043, kl: 2314.7434
epoch: 30, lr: 0.000005, loss: 0.0052
loss: 0.0047, recon: 0.0047, kl: 2324.1670
loss: 0.0042, recon: 0.0042, kl: 2330.5081
loss: 0.0044, recon: 0.0044, kl: 2333.1929
loss: 0.0046, recon: 0.0046, kl: 2356.2588
epoch: 31, lr: 0.000005, loss: 0.0049
loss: 0.0049, recon: 0.0049, kl: 2371.7515
loss: 0.0048, recon: 0.0048, kl: 2365.5093
loss: 0.0044, recon: 0.0044, kl: 2387.0630
loss: 0.0042, recon: 0.0042, kl: 2378.2158
epoch: 32, lr: 0.000005, loss: 0.0045
loss: 0.0044, recon: 0.0044, kl: 2371.8369
loss: 0.0047, recon: 0.0047, kl: 2387.4058
loss: 0.0040, recon: 0.0040, kl: 2419.0415
loss: 0.0043, recon: 0.0043, kl: 2423.5969
epoch: 33, lr: 0.000005, loss: 0.0040
loss: 0.0042, recon: 0.0042, kl: 2440.5996
loss: 0.0042, recon: 0.0042, kl: 2437.5444
loss: 0.0043, recon: 0.0043, kl: 2458.1938
loss: 0.0041, recon: 0.0041, kl: 2449.9985
epoch: 34, lr: 0.000005, loss: 0.0042
loss: 0.0045, recon: 0.0045, kl: 2468.0315
loss: 0.0045, recon: 0.0045, kl: 2458.0872
loss: 0.0043, recon: 0.0043, kl: 2497.0159
loss: 0.0040, recon: 0.0040, kl: 2505.7378
epoch: 35, lr: 0.000005, loss: 0.0049
loss: 0.0042, recon: 0.0042, kl: 2508.4431
loss: 0.0042, recon: 0.0042, kl: 2507.1401
loss: 0.0041, recon: 0.0041, kl: 2505.4453
loss: 0.0040, recon: 0.0040, kl: 2529.7390
loss: 0.0050, recon: 0.0050, kl: 2530.3442
epoch: 36, lr: 0.000005, loss: 0.0042
loss: 0.0040, recon: 0.0040, kl: 2553.1860
loss: 0.0033, recon: 0.0033, kl: 2566.2163
loss: 0.0040, recon: 0.0040, kl: 2548.6655
loss: 0.0041, recon: 0.0041, kl: 2574.5840
epoch: 37, lr: 0.000005, loss: 0.0037
loss: 0.0042, recon: 0.0042, kl: 2569.1035
loss: 0.0040, recon: 0.0040, kl: 2579.5896
loss: 0.0038, recon: 0.0038, kl: 2592.0776
loss: 0.0039, recon: 0.0039, kl: 2576.6516
epoch: 38, lr: 0.000005, loss: 0.0037
loss: 0.0036, recon: 0.0036, kl: 2577.8936
loss: 0.0040, recon: 0.0040, kl: 2633.6951
loss: 0.0035, recon: 0.0035, kl: 2613.9631
loss: 0.0047, recon: 0.0047, kl: 2630.8696
epoch: 39, lr: 0.000005, loss: 0.0042
loss: 0.0037, recon: 0.0037, kl: 2642.1211
loss: 0.0039, recon: 0.0039, kl: 2646.5894
loss: 0.0038, recon: 0.0038, kl: 2659.4893
loss: 0.0042, recon: 0.0042, kl: 2660.3271
epoch: 40, lr: 0.000005, loss: 0.0035
loss: 0.0042, recon: 0.0042, kl: 2672.4448
loss: 0.0036, recon: 0.0036, kl: 2660.8823
loss: 0.0042, recon: 0.0042, kl: 2706.4504
loss: 0.0033, recon: 0.0033, kl: 2669.9304
epoch: 41, lr: 0.000005, loss: 0.0036
loss: 0.0038, recon: 0.0038, kl: 2711.2764
loss: 0.0036, recon: 0.0036, kl: 2675.4497
loss: 0.0039, recon: 0.0039, kl: 2707.2119
loss: 0.0039, recon: 0.0039, kl: 2698.4985
loss: 0.0040, recon: 0.0040, kl: 2720.1929
epoch: 42, lr: 0.000005, loss: 0.0038
loss: 0.0035, recon: 0.0035, kl: 2686.2651
loss: 0.0038, recon: 0.0038, kl: 2723.7075
loss: 0.0040, recon: 0.0040, kl: 2734.4097
loss: 0.0037, recon: 0.0037, kl: 2756.5483
epoch: 43, lr: 0.000005, loss: 0.0039
loss: 0.0038, recon: 0.0038, kl: 2748.6777
loss: 0.0037, recon: 0.0037, kl: 2749.2307
